Tenor,Maturity,InstType,Market.Mid,,,,
3MO,2021-01-09,CASH,0.22538,,,,
6MO,2021-03-17,FUTURE,99.72500,,,,
9MO,2021-06-16,FUTURE,99.78500,,,,
12MO,2021-09-15,FUTURE,99.80000,,,,
15MO,2021-12-15,FUTURE,99.80000,,,,
18MO,2022-03-16,FUTURE,99.78000,,,,
21MO,2022-06-15,FUTURE,99.80000,,,,
2Y,2022-10-07,SWAP,0.21815,,,,
3Y,2023-10-09,SWAP,0.23010,,,,
4Y,2024-10-09,SWAP,0.26820,,,,
5Y,2025-10-09,SWAP,0.32795,,,,
6Y,2026-10-09,SWAP,0.39600,,,,
7Y,2027-10-08,SWAP,0.47055,,,,
8Y,2028-10-09,SWAP,0.54155,,,,
9Y,2029-10-09,SWAP,0.61050,,,,
10Y,2030-10-09,SWAP,0.67335,,,,
11Y,2031-10-09,SWAP,0.72890,,,,
12Y,2032-10-08,SWAP,0.77735,,,,
15Y,2035-10-09,SWAP,0.88655,,,,
20Y,2040-10-09,SWAP,1.00022,,,,
25Y,2045-10-09,SWAP,1.03360,,,,
30Y,2050-10-07,SWAP,1.05050,,,,
40Y,2060-10-08,SWAP,1.01800,,,,
50Y,2070-10-09,SWAP,0.93625,,,,
